Country,ISO,population,total_cases,cases_per_1m,total_deaths,deaths_per_1m,total_recovered,total_tests,tests_per_1m
USA,USA,334805269,110648894,330487,1193021,3563,108310285,1186623953,3544221
India,IND,1406631776,45023148,32008,533425,379,,935879495,665334
France,FRA,65584518,40138560,612013,167642,2556,39970918,271490188,4139547
Germany,DEU,83883596,38798714,462530,181425,2163,38240600,122332384,1458359
Brazil,BRA,215353593,38264864,177684,708999,3292,36249161,63776166,296146
S. Korea,KOR,51329899,34571873,673523,35934,700,34535939,15804065,307892
Japan,JPN,125584838,33803572,269169,74694,595,,100414883,799578
Italy,ITA,60262770,26701924,443092,195752,3248,26312787,279648186,4640480
UK,GBR,68497907,24872653,363116,232112,3389,24622383,522526476,7628357
Russia,RUS,145805947,23825450,163405,401693,2755,23238411,273400000,1875095
Turkey,TUR,85561976,17232066,201399,102174,1194,,162743369,1902052
Spain,ESP,46719142,13914811,297840,121760,2606,13762417,471036328,10082298
Australia,AUS,26068792,11740404,450362,23911,917,,81916639,3142326
Vietnam,VNM,98953541,11624114,117470,43206,437,10640971,85826548,867342
Taiwan,TWN,23888595,10241523,428720,19005,796,10222518,30742304,1286903
Argentina,ARG,46010234,10080046,219083,130685,2840,9949361,35716069,776264
Netherlands,NLD,17211447,8631646,501506,22992,1336,8605094,25984435,1509718
Mexico,MEX,131562772,7702809,58549,334958,2546,6899865,20013810,152124
Iran,IRN,86022837,7625812,88649,146767,1706,,57320267,666338
Indonesia,IDN,279134505,6825402,24452,161954,580,6647104,114158919,408975
Poland,POL,37739785,6649791,176201,120431,3191,,39163553,1037726
Colombia,COL,51512762,6389995,124047,143125,2778,6208573,36951507,717327
Greece,GRC,10316637,6101379,591412,37869,3671,,102228365,9909078
Austria,AUT,9066710,6081287,670727,22542,2486,6054934,211273524,23302116
Portugal,PRT,10140570,5640496,556231,27976,2759,5610395,46139518,4549993
Ukraine,UKR,43192122,5557995,128681,112418,2603,5445577,32603805,754855
Chile,CHL,19250195,5338562,277325,64497,3350,5252450,50382097,2617225
Malaysia,MYS,33181072,5257009,158434,37323,1125,5199997,68580916,2066869
Canada,CAN,38388419,4901250,127675,57516,1498,4804956,66572774,1734189
Belgium,BEL,11668278,4853153,415927,34376,2946,4810312,37454182,3209915
Israel,ISR,9326000,4841772,519169,12707,1363,4798473,41373364,4436346
DPRK,PRK,25990679,4772813,183636,74,3,4772739,,
Thailand,THA,70078203,4763664,67976,34528,493,4692636,17270775,246450
Czechia,CZE,10736784,4754980,442868,43465,4048,4706490,57677466,5371950
Peru,PER,33684208,4536733,134684,222161,6595,4314572,39010194,1158115
Switzerland,CHE,8773637,4448453,507025,14452,1647,4427316,23833472,2716487
Philippines,PHL,112508994,4140383,36800,66864,594,4067381,36102746,320888
South Africa,ZAF,60756135,4076463,67095,102595,1689,3912506,26795090,441027
Romania,ROU,19031335,3517100,184806,68781,3614,3443588,28500725,1497568
Denmark,DNK,5834950,3183756,545636,8814,1511,3174942,129333107,22165247
Singapore,SGP,5943546,2977715,501000,1933,325,2943782,24756666,4165302
Hong Kong,HKG,7604299,2926348,384828,14434,1898,2910121,76127725,10011143
Sweden,SWE,10218971,2751473,269251,27063,2648,2719695,19500873,1908301
Serbia,SRB,8653016,2612206,301884,18057,2087,2590068,13381078,1546406
New Zealand,NZL,4898203,2562053,523060,5374,1097,2550311,7768604,1586011
Iraq,IRQ,42164965,2465545,58474,25375,602,2439497,19544451,463523
Hungary,HUN,9606259,2228206,231954,48976,5098,2152155,11394556,1186160
Bangladesh,BGD,167885689,2046599,12190,29479,176,,15254399,90862
Slovakia,SVK,5460193,1875864,343553,21205,3884,1854003,7448789,1364199
Georgia,GEO,3968738,1855289,467476,17132,4317,,16920079,4263340
Jordan,JOR,10300869,1746997,169597,14122,1371,1731007,17201885,1669945
Ireland,IRL,5020199,1731136,344834,9470,1886,1718912,13083449,2606161
Pakistan,PAK,229488994,1581936,6893,30664,134,1538689,30589153,133292
Finland,FIN,5554960,1513998,272549,11242,2024,1500810,12108977,2179850
Norway,NOR,5511370,1508820,273765,5732,1040,1501612,11002430,1996315
Kazakhstan,KAZ,19205043,1411831,73514,13848,721,1383020,11575012,602707
Lithuania,LTU,2661708,1392133,523022,9880,3712,1376360,10540357,3959997
Slovenia,SVN,2078034,1355878,652481,7100,3417,1348304,2847701,1370382
Bulgaria,BGR,6844597,1337610,195426,38717,5657,1291634,11570231,1690418
Croatia,HRV,4059286,1309728,322650,18687,4604,1258432,5660084,1394355
Guatemala,GTM,18584039,1282315,69001,20273,1091,1260889,7593848,408622
Morocco,MAR,37772756,1278512,33847,16301,432,,13001033,344191
Lebanon,LBN,6684849,1243838,186068,10952,1638,1087587,4795578,717380
Costa Rica,CRI,5182354,1238883,239058,9428,1819,,4659757,899158
Bolivia,BOL,11992656,1211716,101038,22407,1868,1177145,2710261,225993
Tunisia,TUN,12046656,1153361,95741,29423,2442,,5013383,416164
Cuba,CUB,11305652,1115190,98640,8530,754,1106595,14396176,1273361
Ecuador,ECU,18113361,1070121,59079,36043,1990,1034078,3082403,170173
UAE,ARE,10081785,1067030,105837,2349,233,,200732262,19910389
Panama,PAN,4446964,1055998,237465,8688,1954,1044922,7847296,1764641
Uruguay,URY,3496016,1041111,297799,7664,2192,1030944,6114822,1749083
Mongolia,MNG,3378078,1011431,299410,2284,676,1009136,4030048,1193000
Nepal,NPL,30225582,1003450,33199,12031,398,991322,6047766,200088
Belarus,BLR,9432800,994037,105381,7118,755,985592,13646641,1446722
Latvia,LVA,1848837,981883,531081,6609,3575,971406,7885792,4265272
Saudi Arabia,SAU,35844909,841469,23475,9646,269,,45481735,1268848
Azerbaijan,AZE,10300205,834305,80999,10379,1008,823872,7733717,750831
Paraguay,PRY,7305843,824940,112915,20094,2750,,2657506,363751
Bahrain,BHR,1783983,729549,408944,1574,882,727915,10948549,6137138
Dominican Republic,DOM,11056370,673268,60894,4384,397,667788,3740928,338350
Sri Lanka,LKA,21575842,672738,31180,16893,783,655828,6486117,300619
Kuwait,KWT,4380326,666756,152216,2570,587,,8455743,1930391
Cyprus,CYP,1223387,662962,541907,1364,1115,661598,9640118,7879860
Myanmar,MMR,55227143,641550,11617,19495,353,620159,11583604,209745
Moldova,MDA,4013171,631894,157455,12179,3035,,3216305,801437
Estonia,EST,1321910,627009,474320,3001,2270,,3782554,2861431
Palestine,PSE,5345541,621008,116173,5404,1011,615445,3078533,575907
Venezuela,VEN,29266991,552695,18885,5856,200,546537,3359014,114771
Egypt,EGY,106156692,516023,4861,24613,232,442182,3693367,34792
Qatar,QAT,2979915,514524,172664,690,232,513687,4065369,1364257
Libya,LBY,7040745,507274,72048,6437,914,500835,2483848,352782
China,CHN,1448471400,503302,347,5272,4,379053,160000000,110461
Ethiopia,ETH,120812698,501117,4148,7574,63,488171,5565340,46066
Réunion,REU,908061,494595,544672,921,1014,,1603660,1766027
Honduras,HND,10221247,474590,46432,11165,1092,,1660662,162472
Armenia,ARM,2971966,451426,151895,8776,2953,435162,3242901,1091164
Bosnia and Herzegovina,BIH,3249317,403508,124182,16380,5041,379084,1884721,580036
Oman,OMN,5323993,399449,75028,4628,869,,25000000,4695724
Luxembourg,LUX,642371,390465,607850,1232,1918,,4587145,7140959
North Macedonia,MKD,2081304,350244,168281,9963,4787,337068,2226216,1069626
Zambia,ZMB,19470234,349304,17940,4069,209,341316,4112961,211244
Kenya,KEN,56215221,344130,6122,5689,101,337309,3967062,70569
Brunei,BRN,445431,338569,760093,225,505,243601,717784,1611437
Albania,ALB,2866374,334726,116777,3604,1257,330233,1941032,677173
Botswana,BWA,2441162,330442,135363,2801,1147,327049,2026898,830300
Montenegro,MNE,627950,296259,471788,2845,4531,291794,2769281,4410034
Algeria,DZA,45350148,272010,5998,6881,152,183061,230960,5093
Nigeria,NGA,216746934,267173,1233,3155,15,259953,5708974,26339
Zimbabwe,ZWE,15331428,266071,17355,5731,374,258888,2525756,164744
Uzbekistan,UZB,34382084,253662,7378,1637,48,241486,1377915,40077
Mozambique,MOZ,33089461,233731,7064,2250,68,228805,1371127,41437
Afghanistan,AFG,40754388,230838,5664,7976,196,209502,1349726,33119
Martinique,MTQ,374087,230354,615777,1102,2946,,828928,2215870
Laos,LAO,7481023,218913,29262,758,101,,1233207,164845
Iceland,ISL,345393,209832,607517,229,663,,1996384,5780036
Kyrgyzstan,KGZ,6728271,206897,30750,2991,445,196406,1907195,283460
Guadeloupe,GLP,399794,203235,508349,1021,2554,,938039,2346306
El Salvador,SLV,6550389,201855,30816,4230,646,179410,2610114,398467
Trinidad and Tobago,TTO,1406585,191496,136143,4390,3121,187078,913289,649295
Maldives,MDV,540985,186694,345100,316,584,163687,2213831,4092223
Namibia,NAM,2633874,172239,65394,4103,1558,167099,1062663,403460
Uganda,UGA,48432863,171983,3551,3632,75,100431,3012408,62198
Ghana,GHA,32395450,171889,5306,1462,45,170425,2541625,78456
Jamaica,JAM,2985094,156739,52507,3739,1253,,1183986,396633
Cambodia,KHM,17168639,139063,8100,3056,178,135998,3091420,180062
Rwanda,RWA,13600464,133518,9817,1468,108,132039,6021981,442778
Cameroon,CMR,27911548,125248,4487,1974,71,123273,1751774,62762
Malta,MLT,444033,121234,273029,879,1980,119772,2163745,4872937
Barbados,BRB,288023,110298,382949,648,2250,108647,812248,2820080
Angola,AGO,35027343,106720,3047,1937,55,103419,1499795,42818
Channel Islands,CHI,176463,101717,576421,228,1292,101321,1252808,7099551
DRC,COD,95240792,99338,1043,1468,15,84489,846704,8890
French Guiana,GUY,314169,98041,312065,420,1337,11254,651257,2072951
Malawi,MWI,20180839,89168,4418,2686,133,,624784,30959
Senegal,SEN,17653671,89053,5044,1971,112,87024,1146543,64946
Ivory Coast,CIV,27742298,88384,3186,835,30,87497,1690934,60951
Suriname,SUR,596831,82588,138378,1408,2359,,242207,405822
New Caledonia,NCL,290915,80064,275214,314,1079,,98964,340182
French Polynesia,PYF,284164,79254,278902,650,2287,,,
Eswatini,SWZ,1184817,75191,63462,1427,1204,73116,1048704,885119
Guyana,GUY,794045,74137,93366,1300,1637,72013,733218,923396
Belize,BLZ,412190,71373,173156,688,1669,,576016,1397453
Fiji,FJI,909466,69117,75997,885,973,67226,672883,739866
Madagascar,MDG,29178077,68482,2347,1426,49,66862,531329,18210
Cabo Verde,CPV,567678,64477,113580,417,735,63755,401622,707482
Sudan,SDN,45992020,63993,1391,5046,110,58947,562941,12240
Mauritania,MRT,4901981,63798,13015,997,203,62471,1009957,206030
Bhutan,BTN,787941,62697,79571,21,27,61564,2303734,2923739
Syria,SYR,19364809,57743,2982,3165,163,54578,146269,7553
Burundi,BDI,12624840,54721,4334,38,3,53569,345742,27386
Seychelles,SYC,99426,51220,515157,172,1730,51048,,
Gabon,GAB,2331533,49051,21038,307,132,48674,1621909,695641
Andorra,AND,77463,48015,619844,165,2130,,249838,3225256
Papua New Guinea,PNG,9292169,46864,5043,670,72,46168,249149,26813
Curaçao,CUW,165529,45986,277812,295,1782,44720,496693,3000640
Aruba,ABW,107609,44224,410969,292,2714,42438,177885,1653068
Tanzania,TZA,63298550,43223,683,846,13,,,
Mauritius,MUS,1274727,43025,33752,1051,824,41278,358675,281374
Mayotte,MYT,286259,42027,146815,188,657,,176919,618038
Togo,TGO,8680837,39553,4556,290,33,39263,812881,93641
Guinea,GIN,13865691,38572,2782,468,34,37757,660107,47607
Bahamas,BHS,400516,38084,95087,844,2107,36366,257839,643767
Isle of Man,IMN,85732,38008,443335,116,1353,,150753,1758422
Lesotho,LSO,2175699,36135,16608,723,332,25980,431221,198199
Faeroe Islands,FRO,49233,34658,703959,28,569,,778000,15802409
Haiti,HTI,11680283,34542,2957,860,74,33576,132422,11337
Mali,MLI,21473764,33164,1544,743,35,32332,804909,37483
Cayman Islands,CYM,67277,31472,467797,37,550,8553,222773,3311280
Saint Lucia,LCA,185113,30209,163192,410,2215,29799,210983,1139752
Benin,BEN,12784726,28036,2193,163,13,27847,604310,47268
Somalia,SOM,16841795,27334,1623,1361,81,13182,400466,23778
Micronesia,FSM,117489,26547,225953,65,553,,82430,701598
San Marino,SMR,34085,26185,768226,128,3755,26011,196855,5775414
Solomon Islands,SLB,721159,25954,35989,199,276,,,
Congo,COG,5797805,25375,4377,386,67,24006,347815,59991
Timor-Leste,TLS,1369429,23460,17131,138,101,23102,278529,203391
Burkina Faso,BFA,22102838,22109,1000,400,18,21596,248995,11265
Liechtenstein,LIE,38387,21569,561883,94,2449,,112457,2929559
Macao,MAC,667490,21141,31672,123,184,3487,7850,11760
Gibraltar,GIB,33704,20550,609720,113,3353,,534283,15852213
Grenada,GRD,113475,19693,173545,238,2097,19358,182981,1612523
Bermuda,BMU,61939,18860,304493,165,2664,18685,1029558,16622128
South Sudan,SSD,11618511,18819,1620,147,13,18115,410280,35313
Nicaragua,NIC,6779100,18491,2728,225,33,4225,,
Tajikistan,TJK,9957464,17786,1786,125,13,17264,,
Equatorial Guinea,GNQ,1496662,17229,11512,183,122,16907,365697,244342
Monaco,MCO,39783,17181,431868,67,1684,,78646,1976875
Samoa,WSM,202239,17006,84089,31,153,1605,187397,926612
Tonga,TON,107749,16950,157310,13,121,15638,535009,4965327
Marshall Islands,MHL,60057,16138,268711,17,283,16121,,
Dominica,DMA,72344,16038,221691,74,1023,15964,229344,3170187
Djibouti,DJI,1016097,15690,15441,189,186,15427,305941,301094
CAR,CAF,5016678,15440,3078,113,23,15200,81294,16205
Gambia,GMB,2558482,12626,4935,372,145,12189,155686,60851
Saint Martin,SXM,39730,12324,310194,63,1586,,112382,2828643
Vanuatu,VUT,321832,12019,37346,14,44,11976,24976,77606
Greenland,GRL,56973,11971,210117,21,369,2761,164926,2894810
Yemen,YEM,31154867,11945,383,2159,69,9124,329592,10579
Caribbean Netherlands,ATB,26647,11682,438398,38,1426,10476,30126,1130559
Sint Maarten,SXM,43966,11051,251353,92,2093,10905,62056,1411454
Eritrea,ERI,3662244,10189,2782,103,28,10086,23693,6470
Niger,NER,26083660,9931,381,312,12,8890,254538,9759
St. Vincent Grenadines,VCT,111551,9674,86723,124,1112,9493,114197,1023720
Guinea-Bissau,GNB,2063367,9614,4659,177,86,8929,145231,70385
Comoros,COM,907419,9109,10038,161,177,8939,,
Antigua and Barbuda,ATG,99509,9106,91509,146,1467,8954,18901,189943
Liberia,LBR,5305117,8090,1525,295,56,7783,139824,26356
Sierra Leone,SLE,8306436,7779,937,126,15,,259958,31296
Chad,TCD,17413580,7701,442,194,11,4874,191341,10988
British Virgin Islands,VGB,30596,7392,241600,64,2092,,107339,3508269
Cook Islands,COK,17571,7203,409937,2,114,7150,19690,1120596
Sao Tome and Principe,STP,227679,6747,29634,80,351,6666,29473,129450
Turks and Caicos,TCA,39741,6715,168969,40,1007,6671,616295,15507788
Saint Kitts and Nevis,KNA,53871,6607,122645,48,891,6559,126958,2356704
Palau,PLW,18233,6270,343882,10,548,6258,71181,3903965
St. Barth,BLM,9945,5507,553746,6,603,,78646,7908095
Nauru,NRU,10903,5393,494635,1,92,5347,20509,1881042
Kiribati,KIR,123419,5085,41201,24,194,2703,,
Anguilla,AIA,15230,3904,256336,12,788,,51382,3373736
Wallis and Futuna,WLF,10982,3550,323256,8,728,438,20508,1867419
